1 0 0 0 0 255 255
1 1 0 0 0 0 0
1 2 0 0 0 0 0
1 3 0 0 0 0 0
1 4 0 0 0 0 0
1 5 0 0 0 0 0
1 6 0 0 0 0 0
1 7 0 0 0 0 0
0 2 7 0 147 0 0
1 3 1 3 78 0 0
0 7 5 6 91 0 0
1 2 1 3 82 0 78
0 2 7 3 57 0 78
0 2 5 7 2 0 0
1 2 2 0 81 82 0
1 7 6 2 134 0 81
1 2 2 3 32 81 78
1 0 4 1 133 0 0
1 0 6 7 196 0 134
1 0 6 0 166 0 196
1 1 5 0 151 0 166
0 5 0 6 62 166 0
1 7 6 4 190 0 0
1 3 4 2 211 0 32
1 0 7 4 171 190 0
0 3 1 5 124 151 0
0 7 6 0 49 0 171
0 1 6 7 223 0 190
1 2 5 2 80 0 32
0 1 6 7 231 0 190
1 2 0 0 54 171 171
0 2 3 1 66 211 151
1 4 6 7 50 0 190
0 7 4 7 36 50 190
0 0 6 5 115 0 0
0 4 0 3 229 171 211
1 1 0 1 93 171 151
1 3 4 3 87 50 211
0 0 5 2 117 0 54
0 4 4 6 163 50 0
0 1 0 1 161 171 93
0 4 1 4 193 93 50
0 1 2 5 53 54 0
1 2 4 3 90 50 87
0 3 2 6 127 90 0
1 1 0 5 184 171 0
0 7 1 7 23 184 190
1 3 3 0 55 87 171
1 6 6 7 19 0 190
1 1 0 7 164 171 190
0 7 6 3 186 19 55
1 0 5 7 150 0 190
1 4 0 0 108 150 150
0 6 3 6 226 55 19
0 4 1 4 122 164 108
0 7 0 4 254 150 108
0 4 3 7 128 55 190
1 4 7 6 177 190 19
0 7 6 5 61 19 0
1 0 3 0 75 55 150
1 1 3 0 139 55 75
0 4 7 6 176 190 19
1 2 3 6 140 55 19
1 0 2 4 19 140 177
0 2 1 0 194 139 19
1 6 3 2 4 55 140
0 6 4 4 182 177 177
0 1 5 6 10 0 4
1 7 2 4 19 140 177
1 7 2 2 45 140 140
0 3 0 7 231 19 45
1 4 3 2 47 55 140
1 1 2 6 163 140 4
0 4 5 5 13 0 0
0 5 6 6 221 4 4
1 4 4 3 186 47 55
1 4 0 6 84 19 4
0 7 6 0 106 4 19
0 6 7 5 132 45 0
1 5 2 7 33 140 45
1 5 6 2 142 4 140
1 5 3 7 107 55 45
1 0 1 6 23 163 4
1 5 3 4 109 55 84
1 5 2 3 104 140 55
1 2 2 2 153 140 140
1 0 4 3 246 84 55
1 3 0 3 80 246 55
0 3 2 6 250 153 4
1 0 0 1 178 246 163
0 5 2 0 136 153 178
1 5 7 3 55 45 80
1 2 2 0 17 153 178
1 6 3 6 81 80 4
0 3 5 4 148 55 84
1 0 0 5 44 178 55
0 5 4 2 230 84 17
0 6 4 2 14 84 17
1 1 1 7 69 163 45
0 5 2 2 74 17 17
1 2 6 5 80 81 55
1 1 2 6 141 80 81
0 6 7 1 151 45 141
1 2 5 2 133 55 80
0 5 2 0 69 133 44
1 0 1 5 203 141 55
0 0 0 3 120 203 80
0 5 5 0 82 55 203
1 0 7 4 79 45 84
1 0 6 6 166 81 81
1 5 6 7 2 81 45
0 1 4 5 42 84 2
0 2 1 6 134 141 81
0 1 0 2 184 166 133
0 5 6 2 242 81 133
0 4 4 7 198 84 45
0 5 0 6 173 166 81
1 0 6 7 182 81 45
1 0 7 6 86 45 81
1 5 4 1 114 84 141
1 3 5 3 71 114 80
1 3 0 6 12 86 81
0 5 0 4 210 86 84
0 0 0 2 79 86 133
0 0 6 3 250 81 12
0 0 7 5 13 45 114
0 4 7 6 251 45 81
1 0 0 6 209 86 81
0 2 4 6 89 84 81
0 2 7 1 255 45 141
1 7 1 1 154 141 141
1 1 6 6 107 81 81
1 3 3 2 137 12 133
1 2 0 6 51 209 81
0 6 5 3 190 114 137
1 4 4 0 64 84 209
0 6 7 1 243 154 107
0 3 5 2 188 114 51
1 6 5 4 129 114 64
0 6 5 5 33 114 114
0 3 5 3 194 114 137
0 2 3 0 235 137 209
1 6 4 6 122 64 129
0 4 0 4 2 209 64
0 5 0 0 32 209 209
1 5 6 0 251 122 209
1 7 4 1 218 64 107
1 5 2 7 142 51 218
0 3 1 2 110 107 51
0 0 1 1 85 107 107
1 6 7 5 56 218 142
1 2 5 7 183 142 218
1 1 3 7 10 137 218
0 1 6 5 254 56 142
1 6 3 0 92 137 209
0 4 5 3 244 142 137
1 3 6 4 108 92 64
1 2 4 2 231 64 183
0 5 6 5 45 92 142
1 7 0 4 103 209 64
0 5 6 1 24 92 10
0 2 6 3 211 92 108
0 3 6 6 243 92 92
0 1 5 6 249 142 92
0 7 5 7 35 142 103
0 4 0 3 120 209 108
0 1 4 6 130 64 92
0 7 6 0 171 92 209
0 0 5 2 116 142 231
1 5 7 4 121 103 64
0 5 5 7 117 121 103
1 2 7 4 203 103 64
1 7 1 2 43 10 203
1 2 3 2 182 108 203
1 3 4 4 29 64 64
1 3 1 0 80 10 209
1 6 6 6 150 92 92
1 4 6 5 212 150 121
0 1 2 7 68 182 43
0 2 0 4 219 209 212
1 0 4 1 90 212 10
1 1 0 5 179 90 121
1 6 3 6 0 80 150
1 2 4 3 25 212 80
1 3 2 6 158 25 0
0 5 2 5 13 25 121
0 3 2 2 2 25 25
1 7 3 2 216 158 25
1 1 0 0 229 90 90
1 1 2 3 168 25 158
1 6 5 0 11 121 90
0 6 4 5 69 212 121
0 0 6 7 122 11 216
