0000 11010000 00011010 0 11101010
0000 01111101 00001011 0 10001000
0000 10011100 00001110 0 10101010
0000 01100010 01001111 0 10110001
0001 01110100 10011110 1 11010110
0001 10101100 11011001 1 11010011
0001 10111000 01000011 0 01110101
0001 01010001 10110110 1 10011011
0010 01101001 11001101 0 01001001
0010 00110001 11110011 0 00110001
0010 01000110 00000001 0 00000000
0010 11011110 10111111 0 10011110
0011 11011000 00110100 0 11111100
0011 10101100 10011110 0 10111110
0011 00001101 01011001 0 01011101
0011 00100000 00000111 0 00100111
0100 00010101 10111101 0 11101010
0100 11101000 01110111 0 00010111
0100 10100100 11100011 0 01011011
0100 11010011 10100111 0 00101100
0101 01001111 00111100 0 01110011
0101 01111001 01100101 0 00011100
0101 10000001 00101011 0 10101010
0101 11101011 10110111 0 01011100
0110 01101111 11010011 0 00000000
0110 01101001 11010100 0 00000010
0110 11001000 00011001 0 00100110
0110 11111111 00101110 0 00000000
0111 00101010 01001110 0 00111000
0111 11101101 01001101 0 10100000
0111 00101011 10010000 0 10000000
0111 11101010 01110111 0 11011100
1000 00001110 11111000 0 00000011
1000 10000000 00100010 0 00100010
1000 10011010 10001000 0 00100010
1000 00011100 00110011 0 00000011
1001 01110010 00011010 0 00111001
1001 01001101 10110111 0 00100110
1001 00000001 10001001 0 00000000
1001 01011111 10001011 0 00101111
1010 11101110 01110011 0 11011101
1010 01001110 10110110 0 10011100
1010 11111110 00001111 0 11111101
1010 10010111 00100101 0 00101111
1011 00010101 00111011 0 10001010
1011 01010010 11100000 0 00101001
1011 10010011 11000011 0 11001001
1011 00110000 01010101 0 00011000
1100 01110100 11101001 0 00000000
1100 10011001 10001001 0 00000000
1100 10110111 01011011 0 00000000
1100 01101010 00011000 0 00000000
1101 11010101 00000011 0 00000000
1101 00110000 00010000 0 00000000
1101 01100001 10001011 0 00000000
1101 11100101 00011011 0 00000000
1110 11101010 00111110 0 00000000
1110 00001111 11111101 0 00000000
1110 11111111 00111000 0 00000000
1110 10111010 10000011 0 00000000
1111 11100101 00111000 0 00000000
1111 10101001 01110110 0 00000000
1111 11001010 01101101 0 00000000
1111 10101101 10100011 0 00000000
